listing_id,avg_price,median_price,min_date,max_date,n_observations,n_unique_dates,season_high
28071688,680.996664,550.0,2025-02-28,2025-04-19,100,41,680.996664
28075525,446.3397435897436,400.0,2025-02-26,2025-04-19,78,36,446.3397435897436
28155872,400.0,400.0,2025-03-13,2025-04-06,25,25,400.0
28160414,612.328947368421,498.0,2025-02-19,2025-04-20,152,61,612.328947368421
28366360,837.0135135135135,1000.0,2025-01-10,2025-04-20,185,67,837.0135135135135
28410850,515.0688702479339,494.0,2025-01-26,2025-04-19,121,76,515.0688702479339
28429135,433.16878285714284,330.8,2025-02-17,2025-04-20,63,63,433.16878285714284
28932247,495.75252525252523,450.0,2025-02-04,2025-04-07,99,50,495.75252525252523
28987242,646.2340425531914,507.0,2025-03-01,2025-04-16,47,28,646.2340425531914
29008738,573.5882352941177,494.0,2025-01-15,2025-04-17,136,56,573.5882352941177
29114516,364.5740740740741,400.0,2025-02-17,2025-04-20,81,36,364.5740740740741
29145061,439.5571428571429,500.0,2025-01-08,2025-04-05,56,56,439.5571428571428
29302246,394.7241379310345,400.0,2025-01-22,2025-04-06,58,58,394.7241379310345
29341170,408.7826086956522,349.0,2025-01-29,2025-03-31,46,46,408.7826086956522
2951220,789.6676470588235,670.0,2025-01-26,2025-04-20,85,85,789.6676470588235
29739100,724.177011724138,720.0,2025-01-22,2025-04-20,145,89,724.177011724138
29761442,512.875,380.0,2025-02-09,2025-03-14,28,11,512.875
29800671,615.8783459854014,596.0,2025-01-21,2025-04-20,137,75,615.8783459854014
29870406,818.7767587155963,980.0,2025-01-09,2025-04-16,218,86,818.7767587155963
30032994,428.6111111111111,395.0,2025-01-17,2025-04-06,144,57,428.6111111111111
30085847,541.6046514418605,490.0,2025-01-07,2025-04-20,215,86,541.6046514418604
30098696,249.0,249.0,2025-01-23,2025-02-01,10,10,249.0
30105402,802.254820661157,900.0,2025-01-20,2025-04-20,242,91,802.254820661157
30153564,423.4583331746032,425.5,2025-02-03,2025-04-20,126,55,423.4583331746032
30209117,470.35714285714283,450.0,2025-01-21,2025-03-31,42,42,470.35714285714283
30271062,534.4868421052631,583.0,2025-01-22,2025-04-07,76,76,534.4868421052631
30332330,373.975419352518,350.0,2025-01-27,2025-04-16,139,56,373.975419352518
30354217,347.5740740740741,320.0,2025-01-18,2025-04-07,27,27,347.5740740740741
30402651,591.814705882353,550.0,2025-01-07,2025-03-31,170,63,591.814705882353
30491733,800.9721841379311,799.4,2025-01-27,2025-04-20,145,63,800.972184137931
30493854,497.36842105263156,450.0,2025-02-19,2025-03-31,114,41,497.36842105263156
30494198,470.85167464114835,520.0,2025-01-06,2025-04-19,209,89,470.85167464114835
30519162,3900.0,3900.0,2025-01-07,2025-04-07,91,91,3900.0
30560948,881.8909528571429,700.0,2025-01-14,2025-04-20,210,85,881.8909528571428
30617740,556.4929577464789,500.0,2025-02-09,2025-04-20,71,71,556.4929577464789
30756202,564.8377197368421,550.0,2025-01-11,2025-04-06,76,76,564.8377197368421
30785010,524.8525179856115,430.0,2025-01-10,2025-04-20,139,58,524.8525179856115
30795921,1500.0,1500.0,2025-03-16,2025-04-06,22,22,1500.0
30910938,473.8273381294964,450.0,2025-02-15,2025-04-20,139,56,473.8273381294964
30922946,199.6056338028169,150.0,2025-01-12,2025-04-06,71,71,199.6056338028169
31055581,416.99375,415.0,2025-01-23,2025-04-20,160,69,416.99375
31059537,837.8356466666665,830.25,2025-01-11,2025-04-16,180,78,837.8356466666665
31069380,783.4344262295082,809.0,2025-01-14,2025-03-09,61,21,783.4344262295082
31084342,814.1509433962265,800.0,2025-01-13,2025-04-07,53,53,814.1509433962265
31115702,339.07608695652175,300.0,2025-02-02,2025-04-07,46,46,339.07608695652175
31122806,564.0,500.0,2025-01-07,2025-01-31,25,25,564.0
31141252,402.63157894736844,300.0,2025-02-17,2025-04-07,38,38,402.63157894736844
31167122,10000.0,10000.0,2025-01-13,2025-04-07,85,85,10000.0
31169655,404.71923076923076,375.0,2025-01-30,2025-04-20,65,65,404.71923076923076
31278015,504.2857142857143,430.0,2025-02-24,2025-04-20,56,56,504.2857142857143
31284638,932.0689655172414,990.0,2025-01-31,2025-04-19,87,40,932.0689655172414
31380471,890.7798387096774,800.0,2025-01-16,2025-04-20,186,78,890.7798387096774
31397917,2173.3333333333335,250.0,2025-01-30,2025-03-18,15,15,2173.3333333333335
31430342,463.9830508474576,450.0,2025-02-08,2025-04-07,59,59,463.9830508474576
31441134,1514.7666666666667,1500.0,2025-01-07,2025-04-19,180,103,1514.7666666666667
31454750,544.4661016949152,479.0,2025-01-20,2025-04-05,59,59,544.4661016949152
31511990,483.43023255813955,500.0,2025-01-25,2025-04-20,86,86,483.43023255813955
31530689,707.6032863849765,700.0,2025-01-17,2025-04-20,213,90,707.6032863849765
31543199,772.5166666666667,700.0,2025-02-27,2025-04-20,105,44,772.5166666666667
31560419,421.22222222222223,449.0,2025-02-04,2025-04-19,108,47,421.22222222222223
31682871,320.59999983333336,290.0,2025-01-30,2025-03-31,120,41,320.59999983333336
31859744,506.83673469387753,500.0,2025-02-03,2025-04-20,196,77,506.83673469387753
31945494,575.6151509090909,630.0,2025-02-03,2025-04-17,165,70,575.6151509090909
31972121,344.06779661016947,350.0,2025-01-30,2025-04-06,59,59,344.06779661016947
32134287,652.1904761904761,750.0,2025-01-07,2025-04-07,84,84,652.1904761904761
32185033,1263.9423076923076,1300.0,2025-01-25,2025-04-14,104,41,1263.9423076923076
32234626,402.36842105263156,380.0,2025-02-03,2025-04-06,38,38,402.36842105263156
32371924,517.3055555555555,488.0,2025-01-25,2025-04-19,72,33,517.3055555555555
